Pclass,sex,age,fare,survived
3,Male,16,63.13,TRUE
1,Male,67,54.63,FALSE
1,Female,5,72.82,FALSE
2,Male,30,10.33,TRUE
3,Female,24,88.65,FALSE
1,Male,29,61.14,TRUE
1,Male,29,85.89,FALSE
1,Male,15,27.07,FALSE
3,Male,15,77.2,FALSE
2,Male,8,80.85,FALSE
2,Female,42,40.01,FALSE
3,Female,3,41.02,TRUE
1,Male,72,69.08,FALSE
2,Male,78,94.85,FALSE
1,Male,31,12.03,TRUE
3,Female,18,42.65,TRUE
3,Male,40,41.28,FALSE
3,Female,8,85.63,TRUE
3,Female,76,25.19,FALSE
2,Male,65,67.49,TRUE
2,Male,24,57.85,TRUE
1,Female,6,89.96,FALSE
3,Female,33,97.57,FALSE
3,Female,27,68.14,TRUE
3,Male,73,26.71,FALSE
1,Female,53,75.42,TRUE
2,Male,31,48.86,TRUE
1,Male,52,25.83,FALSE
2,Female,32,9.93,FALSE
2,Female,4,79.66,TRUE
2,Female,51,53.8,TRUE
2,Female,79,57.93,FALSE
1,Male,8,80.17,TRUE
1,Female,29,65.21,FALSE
1,Male,25,34.12,TRUE
2,Male,79,99.63,TRUE
2,Male,48,62.7,TRUE
3,Female,43,10.48,TRUE
3,Female,25,78.7,FALSE
1,Female,19,30.15,TRUE
3,Male,57,89.07,TRUE
1,Female,79,98.74,FALSE
1,Male,70,61,FALSE
1,Male,64,96.63,TRUE
3,Male,28,93.56,TRUE
1,Female,15,70.7,TRUE
2,Male,62,64.64,FALSE
1,Male,3,81.61,TRUE
3,Male,10,77.54,FALSE
1,Female,2,59.44,TRUE
1,Male,9,33.44,FALSE
3,Female,1,89.95,TRUE
2,Female,6,78.3,TRUE
1,Female,7,93.92,TRUE
2,Male,43,23.47,FALSE
2,Male,32,71.16,FALSE
3,Female,69,48.24,FALSE
3,Male,58,75.38,TRUE
1,Female,64,78.15,FALSE
2,Female,4,65.17,FALSE
3,Female,52,95.83,FALSE
2,Male,69,79.63,FALSE
1,Male,77,37.78,TRUE
3,Female,51,94.05,FALSE
3,Female,13,50.68,TRUE
2,Female,30,35.43,FALSE
2,Female,66,66.07,FALSE
1,Female,48,85.3,TRUE
1,Female,3,48,TRUE
1,Male,77,40.46,TRUE
2,Female,76,34.42,TRUE
1,Female,72,12.7,TRUE
1,Male,29,6.33,TRUE
2,Male,78,50.9,TRUE
1,Male,28,98.39,TRUE
2,Male,67,62.53,FALSE
2,Female,31,17.66,FALSE
3,Female,28,93.14,TRUE
2,Female,67,60.54,FALSE
2,Male,39,69.93,FALSE
1,Male,2,44.52,FALSE
2,Male,77,30.48,FALSE
1,Male,77,11.16,TRUE
2,Female,13,89.63,TRUE
2,Female,47,68.77,TRUE
1,Female,22,28.79,FALSE
1,Female,4,97.31,FALSE
1,Female,29,87.87,TRUE
1,Female,14,19.67,FALSE
2,Female,47,68.51,TRUE
2,Male,68,87.78,TRUE
2,Female,77,30.63,FALSE
1,Female,55,12.99,TRUE
3,Male,49,43.01,TRUE
1,Male,18,52.05,TRUE
1,Female,33,77.93,FALSE
3,Male,7,52.7,TRUE
1,Male,40,8.45,TRUE
3,Male,63,29.63,TRUE
2,Male,22,55.56,TRUE
1,Male,17,89.46,FALSE
2,Female,12,19.26,TRUE
3,Female,25,99.84,FALSE
3,Male,44,23.55,FALSE
2,Female,65,64.64,TRUE
3,Male,57,56.84,FALSE
3,Male,75,77.75,FALSE
2,Male,61,78.65,FALSE
2,Female,22,47.78,FALSE
2,Female,11,30.87,FALSE
1,Female,44,22.48,TRUE
1,Female,1,89.1,TRUE
1,Male,73,94.67,FALSE
3,Female,58,76.69,FALSE
3,Male,53,76.63,TRUE
1,Male,29,60.12,FALSE
1,Male,34,40.65,FALSE
1,Male,19,6.64,FALSE
3,Male,74,97.17,FALSE
3,Male,62,48.14,FALSE
1,Female,20,23.56,FALSE
1,Male,37,32,TRUE
2,Female,44,33.75,TRUE
1,Male,78,75.83,TRUE
3,Female,54,38.44,FALSE
1,Female,53,54.39,TRUE
1,Male,68,32.86,FALSE
3,Female,78,80.27,FALSE
3,Female,26,70.38,FALSE
2,Female,57,59.18,TRUE
3,Female,61,68.78,FALSE
1,Female,4,67.46,FALSE
2,Male,48,90.82,FALSE
1,Female,42,38.3,FALSE
1,Male,52,78.22,TRUE
3,Female,40,45.53,TRUE
2,Male,47,42.44,FALSE
3,Male,17,68.97,TRUE
2,Female,62,59.74,TRUE
3,Male,29,59.01,TRUE
2,Female,60,51.8,TRUE
2,Male,66,78.02,TRUE
3,Female,27,7.58,FALSE
3,Male,38,2.14,FALSE
3,Female,6,62.19,FALSE
3,Male,6,90.53,TRUE
1,Female,18,70.48,TRUE
2,Female,13,97.92,FALSE
1,Male,22,14.44,FALSE
2,Male,60,95.1,FALSE
1,Female,12,57.12,FALSE
2,Female,34,61.07,TRUE
1,Female,43,29.1,FALSE
1,Male,24,15.75,FALSE
2,Male,41,37.87,FALSE
1,Male,55,89.31,FALSE
2,Female,69,58.55,FALSE
1,Male,61,90.53,FALSE
2,Male,9,25.84,FALSE
2,Female,29,5.89,FALSE
2,Male,59,80.15,FALSE
1,Male,50,33.45,TRUE
3,Female,34,66.29,FALSE
3,Male,65,39.53,TRUE
2,Female,7,61.2,TRUE
2,Male,12,12.93,FALSE
2,Male,4,56.65,FALSE
3,Male,80,53.81,FALSE
1,Female,77,95.19,FALSE
3,Male,80,48.15,FALSE
1,Female,41,28.91,TRUE
2,Male,46,82.91,TRUE
2,Male,78,8.82,TRUE
1,Female,38,28.6,TRUE
1,Female,23,61.27,TRUE
3,Male,60,75.64,FALSE
1,Female,40,67.59,FALSE
1,Male,12,76.08,TRUE
3,Male,24,59.88,TRUE
2,Female,37,58.2,TRUE
3,Female,21,8.6,FALSE
3,Male,75,66.08,TRUE
2,Male,54,86.13,TRUE
3,Female,69,28.39,FALSE
1,Male,46,22.71,FALSE
3,Female,78,31.39,TRUE
2,Male,60,40.81,TRUE
3,Male,66,29.06,FALSE
1,Female,67,39.54,TRUE
1,Female,4,44.01,TRUE
2,Male,74,46.6,FALSE
3,Male,11,59.43,FALSE
2,Male,59,59.81,TRUE
1,Male,73,49.19,FALSE
2,Female,70,16.61,TRUE
2,Female,15,82.68,TRUE
1,Male,29,57.55,TRUE
3,Female,66,89.22,FALSE
3,Male,22,81.79,FALSE
1,Male,20,93.67,FALSE
2,Female,62,85.32,FALSE
1,Female,27,14.9,TRUE
3,Male,59,68,TRUE
2,Female,56,75.09,TRUE
3,Male,56,19.23,TRUE
2,Male,72,55.35,TRUE
1,Female,64,51.21,TRUE
3,Female,52,38.3,FALSE
1,Male,11,33.31,TRUE
2,Female,71,91.44,FALSE
3,Female,67,45.32,FALSE
1,Female,74,38.51,FALSE
3,Male,9,64.31,TRUE
1,Male,77,56.09,TRUE
1,Female,13,27.29,TRUE
1,Female,60,85.81,FALSE
2,Female,62,89.28,FALSE
2,Male,8,83.85,TRUE
1,Male,65,25.17,TRUE
2,Female,27,19.04,FALSE
1,Male,59,41.75,FALSE
3,Female,5,16.49,TRUE
2,Male,51,1.85,FALSE
3,Male,34,4.65,FALSE
2,Male,48,8.16,FALSE
2,Female,15,98.87,FALSE
3,Male,52,52.68,FALSE
1,Female,76,83.94,TRUE
1,Female,63,76.17,TRUE
1,Male,30,25.69,FALSE
2,Male,77,17.23,TRUE
1,Female,11,41.29,TRUE
1,Male,54,10.81,FALSE
3,Male,21,58.52,TRUE
3,Male,28,5.6,TRUE
2,Male,41,25.74,TRUE
3,Male,21,79.51,FALSE
2,Male,1,3.39,FALSE
2,Male,16,48.12,TRUE
3,Male,60,59.05,FALSE
1,Female,79,31.01,TRUE
2,Female,21,81.63,FALSE
3,Female,15,39.58,FALSE
2,Male,23,83.11,FALSE
3,Female,74,68.99,TRUE
1,Female,67,53.07,FALSE
1,Male,32,7.71,TRUE
2,Female,20,43.28,FALSE
3,Male,19,61.8,TRUE
2,Female,19,50.25,TRUE
2,Male,31,18.55,FALSE
1,Male,58,21.39,TRUE
2,Male,13,52.06,FALSE
3,Male,3,66.33,TRUE
1,Female,33,88.66,FALSE
1,Male,70,44.59,FALSE
3,Male,9,75.4,FALSE
2,Female,78,27.43,TRUE
3,Male,78,35.31,FALSE
2,Male,54,28.56,TRUE
2,Female,58,56.59,FALSE
1,Male,10,27.95,TRUE
1,Female,9,31.79,FALSE
3,Female,43,91.62,FALSE
1,Female,47,34.3,TRUE
1,Female,57,21.1,FALSE
3,Male,64,22.47,TRUE
2,Male,69,39.5,TRUE
3,Female,8,22.93,FALSE
2,Male,68,40.57,TRUE
1,Male,21,5.41,TRUE
2,Male,50,27.72,FALSE
3,Female,32,79.66,FALSE
3,Female,77,33.37,FALSE
1,Female,76,34.92,FALSE
1,Female,8,22.36,TRUE
2,Female,4,57.71,FALSE
1,Male,57,12.91,FALSE
3,Female,47,99.83,FALSE
3,Male,19,81.45,FALSE
3,Male,3,23.62,TRUE
1,Female,3,42.24,FALSE
1,Male,29,92.52,TRUE
3,Male,23,13.58,FALSE
1,Female,55,29.59,TRUE
1,Male,32,42.38,TRUE
2,Male,30,54.71,TRUE
1,Female,61,87.29,FALSE
2,Male,12,22.66,FALSE
3,Female,18,40.79,TRUE
2,Female,25,61.22,FALSE
2,Male,38,3.64,FALSE
2,Female,24,40.73,TRUE
1,Female,74,52.95,FALSE
1,Male,2,53.48,FALSE
2,Female,70,12.15,FALSE
3,Female,50,59.05,FALSE
2,Male,71,80.59,FALSE
2,Male,18,34.29,TRUE
3,Female,4,84.69,TRUE
1,Male,38,34.53,FALSE
2,Female,67,62.1,FALSE
3,Male,78,21.25,FALSE
2,Male,14,50.19,FALSE
3,Female,35,1.66,FALSE
1,Male,70,22.45,FALSE
1,Male,58,57.87,FALSE
2,Female,55,60.56,TRUE
2,Male,17,98.32,FALSE
3,Female,13,80.82,TRUE
2,Male,60,93.67,TRUE
1,Male,70,90.45,FALSE
3,Male,1,50.32,FALSE
3,Male,50,46.27,TRUE
1,Female,37,30.82,FALSE
3,Male,33,21.73,FALSE
3,Male,14,16.4,FALSE
2,Female,4,49.76,FALSE
1,Female,23,72.25,FALSE
2,Female,5,75.05,FALSE
2,Female,80,84.66,TRUE
2,Female,50,51.89,FALSE
1,Female,53,52.4,FALSE
1,Female,42,28.04,TRUE
3,Female,35,18.23,FALSE
3,Female,28,97.94,FALSE
3,Female,75,87.33,TRUE
2,Female,16,21.68,FALSE
1,Male,61,68.7,FALSE
3,Female,23,8.54,FALSE
2,Male,41,13.96,TRUE
2,Female,37,43.08,FALSE
1,Male,26,53.14,TRUE
1,Female,39,64.01,TRUE
1,Female,67,17.64,TRUE
2,Male,39,63.07,FALSE
1,Male,71,7.6,FALSE
1,Female,14,91.2,TRUE
1,Female,24,22.24,FALSE
2,Male,45,85.81,FALSE
1,Male,28,22.11,TRUE
2,Female,63,33.64,FALSE
1,Male,27,84.07,FALSE
1,Male,8,12.99,TRUE
2,Male,69,18.5,TRUE
3,Male,1,24.06,FALSE
3,Female,17,75.72,FALSE
3,Female,20,39.38,TRUE
2,Male,75,50.96,FALSE
2,Female,65,68.86,TRUE
2,Male,26,22.56,FALSE
3,Female,33,97.22,TRUE
2,Male,55,17.96,TRUE
1,Male,33,93.61,TRUE
3,Male,11,40.85,FALSE
1,Female,62,76.64,FALSE
1,Male,53,58.54,FALSE
3,Male,77,61.24,FALSE
3,Female,20,51.62,FALSE
3,Female,68,81.14,FALSE
1,Male,46,53.63,TRUE
2,Male,33,99.54,TRUE
2,Female,41,54.07,TRUE
1,Female,10,21.05,TRUE
2,Female,71,33.31,FALSE
1,Male,6,56.56,FALSE
2,Male,48,89.64,TRUE
2,Female,25,76.85,FALSE
1,Male,15,50.74,TRUE
1,Female,72,13.32,FALSE
2,Female,13,1.62,TRUE
1,Male,31,41.62,TRUE
2,Male,17,44.47,FALSE
3,Male,63,68.58,TRUE
1,Male,8,74.24,TRUE
1,Female,28,74.4,FALSE
2,Male,46,66.89,FALSE
3,Female,40,76.91,TRUE
1,Female,62,62.1,FALSE
1,Male,46,36.65,TRUE
3,Female,13,68.67,TRUE
2,Male,54,56.39,TRUE
1,Female,74,61.29,TRUE
2,Male,16,45.65,TRUE
1,Female,3,20.32,TRUE
2,Male,66,3.81,FALSE
3,Male,50,31.95,TRUE
3,Female,78,78.95,TRUE
1,Female,72,66.35,TRUE
2,Female,65,72.28,TRUE
3,Male,69,6.62,TRUE
2,Female,19,42.63,FALSE
2,Male,25,68.63,TRUE
2,Female,12,79.66,FALSE
2,Male,50,62.44,TRUE
3,Female,19,38.64,FALSE
2,Female,37,99.36,FALSE
1,Male,47,64.96,TRUE
3,Female,2,27.76,TRUE
2,Female,38,27.54,TRUE
1,Male,17,61.48,TRUE
3,Female,39,57.54,FALSE
3,Male,26,94.55,FALSE
3,Male,9,63.32,TRUE
1,Female,75,99.52,FALSE
1,Male,75,9.13,FALSE
1,Female,59,10.89,TRUE
2,Male,26,58.06,TRUE
3,Female,50,22.23,FALSE
3,Male,30,92.09,FALSE
2,Male,70,87.44,TRUE
3,Female,23,12.66,TRUE
2,Male,55,92.34,TRUE
3,Male,56,57.33,FALSE
1,Male,53,58.09,TRUE
3,Male,37,78.19,FALSE
1,Male,52,94.58,TRUE
2,Male,21,42.12,FALSE
1,Male,37,80.19,FALSE
3,Male,61,74.82,FALSE
2,Female,22,20.56,TRUE
2,Female,54,8.73,FALSE
3,Male,23,79.72,FALSE
1,Female,37,60.39,FALSE
3,Female,62,33.01,TRUE
2,Male,16,88.63,FALSE
2,Female,52,86.44,FALSE
2,Female,1,37.67,FALSE
1,Male,43,52.01,TRUE
1,Male,51,11.57,FALSE
2,Male,2,93.61,TRUE
3,Male,60,53.39,TRUE
3,Female,4,74.96,FALSE
1,Female,58,75.17,TRUE
2,Female,25,21.19,TRUE
1,Female,35,3.04,FALSE
1,Female,4,48.83,FALSE
2,Male,60,49.22,FALSE
3,Male,46,33.98,TRUE
3,Female,79,79.58,FALSE
2,Female,45,56.63,FALSE
3,Male,72,30.85,TRUE
1,Male,21,18.84,FALSE
2,Male,14,25.03,TRUE
2,Male,54,29.93,FALSE
3,Female,70,86.76,TRUE
2,Female,79,49.05,FALSE
1,Male,72,83.63,FALSE
2,Male,79,65.16,FALSE
1,Male,25,15.15,TRUE
3,Male,4,78.51,TRUE
1,Male,6,54.88,TRUE
3,Male,49,41.85,TRUE
1,Male,40,45.82,TRUE
1,Male,42,2.67,FALSE
1,Male,54,68.18,TRUE
2,Male,22,28.18,FALSE
3,Male,37,87.45,TRUE
2,Female,44,6.57,TRUE
2,Male,8,24.61,TRUE
2,Male,69,47.19,FALSE
3,Female,9,91.25,FALSE
1,Male,53,48.57,FALSE
2,Male,64,33.31,TRUE
1,Male,2,25.93,TRUE
3,Female,55,40.71,FALSE
3,Male,76,10.2,TRUE
3,Female,39,70.66,FALSE
2,Male,30,23.23,FALSE
1,Female,61,59.38,TRUE
3,Female,36,97.3,FALSE
3,Male,64,2.99,FALSE
3,Female,80,42.89,FALSE
1,Female,1,77.45,FALSE
1,Female,15,52.92,FALSE
1,Female,33,61.22,TRUE
1,Male,66,23.26,FALSE
2,Male,43,16.64,FALSE
2,Female,51,33.42,TRUE
3,Female,68,95.97,TRUE
2,Female,62,21.44,FALSE
1,Male,46,47.29,FALSE
3,Male,39,48.93,TRUE
1,Male,69,62.84,TRUE
2,Female,29,39.03,FALSE
2,Male,39,94.11,FALSE
1,Male,79,66.34,TRUE
1,Male,48,17.94,TRUE
1,Male,64,85.98,TRUE
2,Female,77,39.34,FALSE
2,Male,24,16.35,FALSE
1,Male,35,14.86,TRUE
3,Male,58,22.97,TRUE
2,Female,57,45.68,TRUE
1,Male,69,96.63,FALSE
3,Male,24,81.87,FALSE
1,Male,21,11.81,TRUE
2,Female,16,71.01,FALSE
1,Male,39,48.95,FALSE
2,Female,76,75.77,FALSE
3,Female,60,1.33,FALSE
2,Male,62,56.37,TRUE
2,Female,62,74.24,TRUE
3,Male,27,88.39,TRUE
1,Female,30,57.56,TRUE
3,Male,53,2.23,FALSE
2,Male,65,3.73,FALSE
3,Female,21,58.26,TRUE
2,Male,3,22.27,FALSE
1,Male,63,67.74,FALSE
3,Male,64,29.04,TRUE
1,Male,48,40.25,TRUE
